"coverage","id","METRIC.F1_Score","caller","TRUTH.TP","TRUTH.TOTAL","QUERY.FP","TRUTH.FN","FP.gt","FP.al","caller.1","Type"
11.221866,33,1,"GATK-4.1.0.0",10,10,0,0,0,0,"GATK-4.1.0.0","INDEL"
11.221866,33,0.981714,"GATK-4.1.0.0",182348,188089,1052,5741,1023,0,"GATK-4.1.0.0","SNP"
11.248465,278,1,"DV-0.10.0",6,6,0,0,0,0,"DV-0.10.0","INDEL"
11.248465,278,0.989472,"DV-0.10.0",185816,188937,833,3121,789,0,"DV-0.10.0","SNP"
11.248465,278,1,"GATK-3.5.0",6,6,0,0,0,0,"GATK-3.5.0","INDEL"
11.248465,278,0.964784,"GATK-3.5.0",177075,188937,1065,11862,1043,0,"GATK-3.5.0","SNP"
11.248465,278,1,"GATK-4.1.0.0",6,6,0,0,0,0,"GATK-4.1.0.0","INDEL"
11.248465,278,0.980078,"GATK-4.1.0.0",182587,188937,1073,6350,1047,0,"GATK-4.1.0.0","SNP"
11.254981,237,1,"DV-0.10.0",6,6,0,0,0,0,"DV-0.10.0","INDEL"
11.254981,237,0.987537,"DV-0.10.0",184623,188023,1260,3400,1148,0,"DV-0.10.0","SNP"
11.254981,237,1,"GATK-3.5.0",6,6,0,0,0,0,"GATK-3.5.0","INDEL"
11.254981,237,0.967085,"GATK-3.5.0",177358,188023,1408,10665,1380,0,"GATK-3.5.0","SNP"
11.254981,237,1,"GATK-4.1.0.0",6,6,0,0,0,0,"GATK-4.1.0.0","INDEL"
11.254981,237,0.980056,"GATK-4.1.0.0",182044,188023,1430,5979,1384,0,"GATK-4.1.0.0","SNP"
11.300287,282,1,"DV-0.10.0",6,6,0,0,0,0,"DV-0.10.0","INDEL"
11.300287,282,0.986477,"DV-0.10.0",322144,328651,2325,6507,2128,0,"DV-0.10.0","SNP"
11.300287,282,0.909091,"GATK-3.5.0",5,6,0,1,0,0,"GATK-3.5.0","INDEL"
11.300287,282,0.965353,"GATK-3.5.0",308977,328651,2505,19674,2459,0,"GATK-3.5.0","SNP"
11.300287,282,0.909091,"GATK-4.1.0.0",5,6,0,1,0,0,"GATK-4.1.0.0","INDEL"
11.300287,282,0.978929,"GATK-4.1.0.0",317500,328651,2517,11151,2456,0,"GATK-4.1.0.0","SNP"
11.380627,15,1,"DV-0.10.0",7,7,0,0,0,0,"DV-0.10.0","INDEL"
11.380627,15,0.988153,"DV-0.10.0",184085,187302,1197,3217,1059,0,"DV-0.10.0","SNP"
11.380627,15,1,"GATK-3.5.0",7,7,0,0,0,0,"GATK-3.5.0","INDEL"
11.380627,15,0.967897,"GATK-3.5.0",176858,187302,1288,10444,1253,0,"GATK-3.5.0","SNP"
11.380627,15,1,"GATK-4.1.0.0",7,7,0,0,0,0,"GATK-4.1.0.0","INDEL"
11.380627,15,0.980387,"GATK-4.1.0.0",181353,187302,1307,5949,1259,0,"GATK-4.1.0.0","SNP"
11.420625,263,1,"DV-0.10.0",8,8,0,0,0,0,"DV-0.10.0","INDEL"
11.420625,263,0.986456,"DV-0.10.0",185800,189428,1474,3628,1339,0,"DV-0.10.0","SNP"
11.420625,263,0.933333,"GATK-3.5.0",7,8,0,1,0,0,"GATK-3.5.0","INDEL"
11.420625,263,0.965205,"GATK-3.5.0",178156,189428,1573,11272,1550,0,"GATK-3.5.0","SNP"
11.420625,263,0.933333,"GATK-4.1.0.0",7,8,0,1,0,0,"GATK-4.1.0.0","INDEL"
11.420625,263,0.978969,"GATK-4.1.0.0",183149,189428,1590,6279,1553,0,"GATK-4.1.0.0","SNP"
11.42086,257,1,"DV-0.10.0",8,8,0,0,0,0,"DV-0.10.0","INDEL"
11.42086,257,0.988747,"DV-0.10.0",186664,189793,1120,3129,1030,0,"DV-0.10.0","SNP"
11.42086,257,1,"GATK-3.5.0",8,8,0,0,0,0,"GATK-3.5.0","INDEL"
11.42086,257,0.969215,"GATK-3.5.0",179615,189793,1232,10178,1208,0,"GATK-3.5.0","SNP"
11.42086,257,1,"GATK-4.1.0.0",8,8,0,0,0,0,"GATK-4.1.0.0","INDEL"
11.42086,257,0.981769,"GATK-4.1.0.0",184195,189793,1243,5598,1210,0,"GATK-4.1.0.0","SNP"
11.544478,136,0.923077,"DV-0.10.0",6,7,0,1,0,0,"DV-0.10.0","INDEL"
11.544478,136,0.989631,"DV-0.10.0",186872,189808,980,2936,888,0,"DV-0.10.0","SNP"
11.544478,136,0.833333,"GATK-3.5.0",5,7,0,2,0,0,"GATK-3.5.0","INDEL"
11.544478,136,0.970229,"GATK-3.5.0",179844,189808,1073,9964,1046,0,"GATK-3.5.0","SNP"
11.544478,136,0.923077,"GATK-4.1.0.0",6,7,0,1,0,0,"GATK-4.1.0.0","INDEL"
11.544478,136,0.982384,"GATK-4.1.0.0",184279,189808,1080,5529,1051,0,"GATK-4.1.0.0","SNP"
11.577661,188,0.947368,"DV-0.10.0",9,10,0,1,0,0,"DV-0.10.0","INDEL"
11.577661,188,0.988985,"DV-0.10.0",185994,189123,1014,3129,954,0,"DV-0.10.0","SNP"
11.577661,188,0.705882,"GATK-3.5.0",6,10,1,4,1,0,"GATK-3.5.0","INDEL"
11.577661,188,0.96927,"GATK-3.5.0",178902,189123,1123,10221,1095,0,"GATK-3.5.0","SNP"
11.577661,188,0.705882,"GATK-4.1.0.0",6,10,1,4,1,0,"GATK-4.1.0.0","INDEL"
11.577661,188,0.981989,"GATK-4.1.0.0",183518,189123,1127,5605,1097,0,"GATK-4.1.0.0","SNP"
11.62621,240,1,"DV-0.10.0",6,6,0,0,0,0,"DV-0.10.0","INDEL"
11.62621,240,0.990942,"DV-0.10.0",185432,188066,756,2634,710,0,"DV-0.10.0","SNP"
11.62621,240,1,"GATK-3.5.0",6,6,0,0,0,0,"GATK-3.5.0","INDEL"
11.62621,240,0.971527,"GATK-3.5.0",178504,188066,901,9562,871,0,"GATK-3.5.0","SNP"
11.62621,240,1,"GATK-4.1.0.0",6,6,0,0,0,0,"GATK-4.1.0.0","INDEL"
11.62621,240,0.983483,"GATK-4.1.0.0",182830,188066,905,5236,873,0,"GATK-4.1.0.0","SNP"
11.761855,142,0.933333,"DV-0.10.0",7,8,0,1,0,0,"DV-0.10.0","INDEL"
11.761855,142,0.989864,"DV-0.10.0",187464,190285,1018,2821,932,0,"DV-0.10.0","SNP"
11.761855,142,0.933333,"GATK-3.5.0",7,8,0,1,0,0,"GATK-3.5.0","INDEL"
11.761855,142,0.972019,"GATK-3.5.0",180990,190285,1125,9295,1092,0,"GATK-3.5.0","SNP"
11.761855,142,1,"GATK-4.1.0.0",8,8,0,0,0,0,"GATK-4.1.0.0","INDEL"
11.761855,142,0.983538,"GATK-4.1.0.0",185216,190285,1131,5069,1094,0,"GATK-4.1.0.0","SNP"
11.768535,252,1,"DV-0.10.0",12,12,0,0,0,0,"DV-0.10.0","INDEL"
11.768535,252,0.989708,"DV-0.10.0",182373,185097,1069,2724,959,0,"DV-0.10.0","SNP"
11.768535,252,1,"GATK-3.5.0",12,12,0,0,0,0,"GATK-3.5.0","INDEL"
11.768535,252,0.971815,"GATK-3.5.0",176088,185097,1205,9009,1170,0,"GATK-3.5.0","SNP"
11.768535,252,1,"GATK-4.1.0.0",12,12,0,0,0,0,"GATK-4.1.0.0","INDEL"
11.768535,252,0.982672,"GATK-4.1.0.0",179970,185097,1220,5127,1171,0,"GATK-4.1.0.0","SNP"
11.778641,249,1,"DV-0.10.0",7,7,0,0,0,0,"DV-0.10.0","INDEL"
11.778641,249,0.989904,"DV-0.10.0",185255,188042,992,2787,891,0,"DV-0.10.0","SNP"
11.778641,249,1,"GATK-3.5.0",7,7,0,0,0,0,"GATK-3.5.0","INDEL"
11.778641,249,0.970725,"GATK-3.5.0",178394,188042,1112,9648,1087,0,"GATK-3.5.0","SNP"
11.778641,249,1,"GATK-4.1.0.0",7,7,0,0,0,0,"GATK-4.1.0.0","INDEL"
11.778641,249,0.982696,"GATK-4.1.0.0",182723,188042,1116,5319,1086,0,"GATK-4.1.0.0","SNP"
11.780302,180,1,"DV-0.10.0",11,11,0,0,0,0,"DV-0.10.0","INDEL"
11.780302,180,0.988416,"DV-0.10.0",185249,188351,1240,3102,1120,0,"DV-0.10.0","SNP"
11.780302,180,1,"GATK-3.5.0",11,11,0,0,0,0,"GATK-3.5.0","INDEL"
11.780302,180,0.97068,"GATK-3.5.0",178857,188351,1311,9494,1271,0,"GATK-3.5.0","SNP"
11.780302,180,1,"GATK-4.1.0.0",11,11,0,0,0,0,"GATK-4.1.0.0","INDEL"
11.780302,180,0.98242,"GATK-4.1.0.0",183123,188351,1326,5228,1271,0,"GATK-4.1.0.0","SNP"
11.912925,63,1,"DV-0.10.0",5,5,0,0,0,0,"DV-0.10.0","INDEL"
11.912925,63,0.989666,"DV-0.10.0",324985,330047,1725,5062,1581,0,"DV-0.10.0","SNP"
11.912925,63,1,"GATK-3.5.0",5,5,0,0,0,0,"GATK-3.5.0","INDEL"
11.912925,63,0.972148,"GATK-3.5.0",313926,330047,1867,16121,1818,0,"GATK-3.5.0","SNP"
11.912925,63,1,"GATK-4.1.0.0",5,5,0,0,0,0,"GATK-4.1.0.0","INDEL"
11.912925,63,0.983655,"GATK-4.1.0.0",321252,330047,1881,8795,1820,0,"GATK-4.1.0.0","SNP"
11.941232,279,0.857143,"DV-0.10.0",6,8,0,2,0,0,"DV-0.10.0","INDEL"
